default_flag,sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_msinie,pl_orbeccen,st_teff,st_rad,st_mass,st_logg,sy_dist
0,1,1,9,4.0378962,0.04963,4449.62,0.087,6100.0,1.19,1.0,4.38,882.472
0,1,1,9,8.886593,0.0855,4420.726363636363,0.0935,6090.0,1.04,1.05,4.42,645.294
1,1,1,9,8.886593,0.0855,4391.832727272727,0.1,6090.0,1.02,1.05,4.43,645.294
0,1,1,9,8.886593,0.0854,4362.939090909091,0.18,6090.0,1.02,1.05,4.5,645.294
0,1,2,9,0.85359159,0.017016,4334.045454545454,0.0,5259.0,0.82,0.91,4.57,159.906
0,1,2,9,0.853585,0.0172,4305.151818181818,0.0,5275.0,0.87,0.93,4.5,159.906
0,1,2,9,0.853585,0.0169,4276.258181818182,0.0,5250.0,0.96,0.88,4.42,159.906
0,1,2,9,0.853585,0.017,4247.364545454546,0.0,5256.0,0.86,0.9,4.52,159.906
1,1,2,9,0.85359163,0.017,4218.470909090909,0.0,5275.0,0.83,0.82,4.5,159.906
0,1,2,9,0.8540000000000001,0.017,4189.577272727272,0.06,5313.0,0.84,0.88,4.54,159.906
0,1,2,9,0.85359165,0.017,4160.683636363636,0.12,5256.0,0.86,0.9,4.52,159.906
1,1,2,8,3.698,0.046,4131.79,0.0,5256.0,0.86,0.9,4.52,159.906
0,1,2,8,3.7,0.045,4102.896363636363,0.12,5256.0,0.86,0.9,4.52,159.906
